name,domain,website,country,created_at
Universitas Siliwangi,unsil.ac.id,http://www.unsil.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Jenderal Soedirman,unsoed.ac.id,http://www.unsoed.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Sam Ratulangi,unsrat.ac.id,http://www.unsrat.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Sriwijaya,unsri.ac.id,http://www.unsri.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Swadaya Gunung Djati,unswagati-crb.ac.id,http://www.unswagati-crb.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Syiah Kuala,unsyiah.ac.id,http://www.unsyiah.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Tadulako,untad.ac.id,http://www.untad.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas 17 Agustus 1945 Surabaya,untag.ac.id,http://www.untag.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas 17 Agustus 1945 Banyuwangi,untag-banyuwangi.ac.id,http://www.untag-banyuwangi.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas 17 Agustus 1945 Cirebon,untagcirebon.info,http://www.untagcirebon.info/,Indonesia,2024-09-08 21:12:57.011106
Universitas 17 Agustus 1945 Jakarta,untag-jkt.org,http://www.untag-jkt.org/,Indonesia,2024-09-08 21:12:57.011106
Universitas 17 Agustus 1945 Samarinda,untag-smd.ac.id,http://www.untag-smd.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas 17 Agustus 1945 Semarang,untagsmg.ac.id,http://www.untagsmg.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Tanjungpura,untan.ac.id,http://www.untan.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Tarumanagara,untar.ac.id,http://www.untar.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Sultan Ageng Tirtayasa,untirta.ac.id,http://www.untirta.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Udayana,unud.ac.id,http://www.unud.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Wijaya Kusuma Purwokerto,unwiku.ac.id,http://www.unwiku.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Negeri Yogyakarta,uny.ac.id,http://www.uny.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Proklamasi 45,up45.ac.id,http://www.up45.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Pelita Harapan,uph.edu,http://www.uph.edu/,Indonesia,2024-09-08 21:12:57.011106
Universitas Pendidikan Indonesia,upi.edu,http://www.upi.edu/,Indonesia,2024-09-08 21:12:57.011106
"Universitas Pembangunan Nasional ""Veteran"" Jakarta",upnvj.ac.id,http://www.upnvj.ac.id/,Indonesia,2024-09-08 21:12:57.011106
"Universitas Pembangunan Nasional ""Veteran"" Jawa Timur",upnjatim.ac.id,http://www.upnjatim.ac.id/,Indonesia,2024-09-08 21:12:57.011106
"Universitas Pembangunan Nasional ""Veteran"" Yogyakarta",upnyk.ac.id,http://www.upnyk.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Palangka Raya,upr.ac.id,http://www.upr.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Pancasakti Tegal,upstegal.ac.id,http://www.upstegal.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Sanata Dharma,usd.ac.id,http://www.usd.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Simalungun,usi.ac.id,http://www.usi.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Semarang,usm.ac.id,http://www.usm.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Sumatera Utara,usu.ac.id,http://www.usu.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Terbuka Indonesia,ut.ac.id,http://www.ut.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Tidar Magelang,untidar.ac.id,http://www.untidar.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Tunas Pembangunan,utp.ac.id,http://www.utp.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Widya Gama Malang,widyagama.ac.id,http://www.widyagama.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Katolik Widya Karya,widyakarya.ac.id,http://www.widyakarya.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Widyatama,widyatama.ac.id,http://www.widyatama.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Wijaya Kusuma Surabaya,wijayakusumasby.ac.id,http://www.wijayakusumasby.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Katolik Widya Manadala,wima.ac.id,http://www.wima.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Wisnuwardhana,wisnuwardhana.ac.id,http://www.wisnuwardhana.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Persada Indonesia Y.A.I,yai.ac.id,http://www.yai.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Universitas Yarsi,yarsi.ac.id,http://www.yarsi.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Duta Bangsa University,udb.ac.id,https://udb.ac.id/,Indonesia,2024-09-08 21:12:57.011106
Akademi Farmasi Yarsis Pekanbaru,akfaryarsiptk.ac.id,https://akfaryarsiptk.ac.id,Indonesia,2024-09-08 21:12:57.011106
